nivel,tienda,mes,area_batch,estado_veterana,n_dias,n_lotes,uds_total,uds_media_lote,p1_min_medio,p2_min_medio,p3_min_medio,p23_min_medio,p4_min_medio,p5_min_medio,p6_min_medio,p7_min_medio,prep_min_medio,total_min_util_medio,p1_ef_min_medio,p2_ef_min_medio,p3_ef_min_medio,p23_ef_min_medio,p4_ef_min_medio,p5_ef_min_medio,p6_ef_min_medio,p7_ef_min_medio,prep_ef_min_medio,total_min_efec_medio,p1_par_min_medio,p2_par_min_medio,p3_par_min_medio,p23_par_min_medio,p4_par_min_medio,p5_par_min_medio,p6_par_min_medio,p7_par_min_medio,prep_par_min_medio,total_min_paradas_medio,p1_pct_medio,p2_pct_medio,p3_pct_medio,p23_pct_medio,p4_pct_medio,p5_pct_medio,p6_pct_medio,p7_pct_medio,prep_pct_medio,p1_ef_pct_medio,p2_ef_pct_medio,p3_ef_pct_medio,p23_ef_pct_medio,p4_ef_pct_medio,p5_ef_pct_medio,p6_ef_pct_medio,p7_ef_pct_medio,prep_ef_pct_medio,p1_par_pct_medio,p2_par_pct_medio,p3_par_pct_medio,p23_par_pct_medio,p4_par_pct_medio,p5_par_pct_medio,p6_par_pct_medio,p7_par_pct_medio,prep_par_pct_medio,prod_total_min_ud_media,prod_efectiva_min_ud_media,uph_total_media,uph_efec_media
tienda_mes,3750,1/4/2026,FYV,Veterana,24,61,3.583,"60,22","0,52139",0,0,"7,73","3,12","0,7378047453703706","1,76","2,6","7,73","16,47","0,52139",0,0,"7,73","3,12","0,7378047453703706","1,76","1,72","7,73","15,59",0,0,0,0,0,0,0,"0,882864699074074",0,"0,882864699074074","0,034352",0,0,"0,46040109687397907","0,18763","0,04664018684150506","0,1071713","0,16380973289","0,46040109687397907","0,0367045026645",0,0,"0,4843035463308786","0,1985701624000361","0,049944","0,113907971025165","0,11656943415610213","0,4843035463308786",0,0,0,0,0,0,0,1,0,"0,29748100337233","0,280756032341","215,55","227,56"
tienda_mes,3750,1/4/2026,HORNO,Veterana,24,45,596,"13,75","0,1723302083333","1,09","1,12",0,0,"1,96","1,56",0,"2,21","5,9","0,1723302083333","1,09","1,12",0,0,"1,83","1,56",0,"2,21","5,77",0,0,0,0,0,"0,1373",0,0,0,"0,1373","0,0311956403108913","0,18124039094451","0,1697",0,0,"0,3628098955","0,2550884978",0,"0,35090596643610544","0,032097852","0,18425","0,1718",0,0,"0,35269046858","0,2591970458551303",0,"0,3560146332086188",0,0,0,0,0,1,0,0,0,"0,49298","0,48574830447431605","136,44","138,17"
tienda_mes,3750,1/4/2026,PENDIENTES,Veterana,16,19,78,"3,91","0,2115","0,232","0,29900156250000004",0,0,"0,41853","0,88297","2,66","0,531000520833333","4,7","0,2115","0,232","0,29900156250000004",0,0,"0,41853","0,88297","1,98","0,531000520833333","4,03",0,0,0,0,0,0,0,"0,67281",0,"0,67281","0,0713589061822","0,0665376049589","0,05705496",0,0,"0,09281883493701061","0,22580804732350987","0,48642","0,12359256308104755","0,08873242","0,08892771574954102","0,05997339087346",0,0,"0,1253","0,25674989911929025","0,38031928206442206","0,148901106623",0,0,0,0,0,0,0,1,0,"2,1","1,61","54,49","65,87"
tienda_mes,3798,1/4/2026,SECOS,Veterana,24,410,59.606,"143,17","1,15","11,97","23,51",0,0,"1,18","0,9111954745120787","3,84","35,48","42,55","1,09","11,95","23,18",0,0,"1,17","0,9111954745120787","2,55","35,14","40,86","0,059975","0,01248","0,3252732626068104",0,0,"0,01418",0,"1,28","0,33775110652215","1,7","0,026746131089427094","0,2814453196025676","0,5522090988904796",0,0,"0,0277176868201129","0,021333277328902292","0,09054848626851045","0,8336544184930473","0,026529624838503543","0,292660296975","0,56739",0,0,"0,028534521203743023","0,02227568524308757","0,062607674076969","0,86005249464","0,016428","0,00436061103378","0,17637882017786",0,0,"0,004957",0,"0,7978763287905751","0,18073943","0,3000054733860009","0,2874332269676013","202,28","210,53"
tienda_mes,3798,1/4/2026,REFRIGERADO,Veterana,24,162,17.470,"106,55","0,94893","6,55","10,97",0,0,"1,11","1,95","2,16","17,52","23,69","0,8648899807098765","6,55","10,97",0,0,"1,11","1,95","1,68","17,52","23,13","0,084043519",0,0,0,0,0,0,"0,4824",0,"0,5664433573082011","0,039859106746","0,27689133925357046","0,4629",0,0,"0,047195792209216","0,0826047351","0,090550493995","0,7397898719048639","0,0371025146","0,28272003639092863","0,4749870684875",0,0,"0,04826093162","0,08438290030801442","0,072547","0,7577071048783901","0,12500000000000003",0,0,0,0,0,0,"0,875",0,"0,225787501048469","0,220124045812","269,84","276,16"
tienda_mes,3798,1/4/2026,CONGELADO,Veterana,24,133,5.724,"42,22","1,02","2,94","6,87",0,0,"0,841995520833333","1,78","2,07","9,81","15,52","1,02","2,94","6,66",0,0,"0,841995520833333","1,7","1,57","9,6","14,73",0,0,"0,21213045139",0,0,0,"0,079251","0,4976","0,21213045139","0,7890081630291005","0,065765","0,18969544364098023","0,44241",0,0,"0,054236","0,11525381378352093","0,1326356491500415","0,63210997548","0,068828670094953","0,1980109927099764","0,45393790942744",0,0,"0,05676","0,11529218503331402","0,10717368360512305","0,65194890213742",0,0,"0,2222",0,0,0,"0,0722851054700327","0,705492672307745","0,2222","0,3731056633071713","0,35420547038780814","164,44","172,8"
tienda_mes,3798,1/4/2026,FRESCOS,Veterana,24,163,13.241,"81,08","1,39",0,0,18,"1,54","0,64705612957","3,03","4,19",18,"28,8","1,29",0,0,18,"1,54","0,64705612957","3,03","1,88",18,"26,39","0,10066319",0,0,0,0,0,0,"2,31",0,"2,41","0,04832224",0,0,"0,6255278600843366","0,052692022353","0,022667573540520635","0,1058492834058381","0,14494102150077498","0,6255278600843366","0,04866314899140546",0,0,"0,6824438878082584","0,05730193212","0,02473057098332903","0,11578622804259049","0,071074232051247","0,6824438878082584","0,05000000000000001",0,0,0,0,0,0,"0,95",0,"0,3584810895368085","0,32795636967040753","169,65","185,14"
tienda_mes,3798,1/4/2026,FYV,Veterana,24,139,10.540,"75,47","1,58",0,0,"9,42","3,05","1,19","3,03","3,34","9,42","21,6","1,47",0,0,"9,42","3,05","1,1","3,03","1,44","9,42","19,52","0,10449724206349209",0,0,0,0,"0,083116",0,"1,9",0,"2,08","0,0736628299077982",0,0,"0,436857260786089","0,14182489284053595","0,0555130362228","0,1422436317934078","0,14989834844935013","0,436857260786089","0,07623650691532007",0,0,"0,480444547","0,156065453","0,057413","0,1567","0,0731035870230781","0,480444547","0,03426798489131906",0,0,0,0,"0,011807051227509429",0,"0,95392",0,"0,29086675","0,2609191674","211,15","231,49"
tienda_mes,3798,1/4/2026,HORNO,Veterana,24,86,2.238,"25,65","0,260551586","1,52","2,33",0,0,"0,31284","3,44","0,43685201388889","3,85","8,3","0,260551586","1,52","2,33",0,0,"0,31284","3,44","0,43685201388889","3,85","8,3",0,0,0,0,0,0,0,0,0,0,"0,0320104777024067","0,18391882048293","0,2793395785069904",0,0,"0,03697","0,4173430157028723","0,05041587620702733","0,463258","0,0320104777024067","0,18391882048293","0,2793395785069904",0,0,"0,03697","0,4173430157028723","0,05041587620702733","0,463258",,,,,,,,,,"0,33353388985073207","0,33353388985073207","188,87","188,87"
tienda_mes,3798,1/4/2026,PENDIENTES,Veterana,18,38,173,"4,13","0,19432104938271602","0,3147229475308642","0,22201512345679017",0,0,"0,5081590895061728","0,8342200154320987","4,27","0,536738070987654","6,34","0,19432104938271602","0,3147229475308642","0,22201512345679017",0,0,"0,5081590895061728","0,8342200154320987","1,64","0,536738070987654","3,72",0,0,0,0,0,0,0,"2,63",0,"2,63","0,037698","0,07365","0,03363407921951075",0,0,"0,10180072974","0,1516261608060173","0,6015911768604502","0,1072839490028384","0,07414430542770493","0,110095232","0,04134092602906236",0,0,"0,1835006065182","0,2310877799394008","0,35983115021064943","0,1514361579040202",0,0,0,0,0,0,0,1,0,"2,91","1,35","45,31","74,93"
