tienda,mes,shift,area_batch,estado_veterana,n_lotes,uds_media_lote,p1_min_medio,p2_min_medio,p3_min_medio,p23_min_medio,p4_min_medio,p5_min_medio,p6_min_medio,p7_min_medio,prep_min_medio,total_min_util_medio,total_min_observado_medio,descanso_excluido_min_medio,p1_pct_medio,p2_pct_medio,p3_pct_medio,p23_pct_medio,p4_pct_medio,p5_pct_medio,p6_pct_medio,p7_pct_medio,prep_pct_medio,prod_total_min_ud_media,uph_total_media,p1_ef_min_medio,p1_ef_pct_medio,p1_par_min_medio,p1_par_pct_medio,p2_ef_min_medio,p2_ef_pct_medio,p2_par_min_medio,p2_par_pct_medio,p3_ef_min_medio,p3_ef_pct_medio,p3_par_min_medio,p3_par_pct_medio,p23_ef_min_medio,p23_ef_pct_medio,p23_par_min_medio,p23_par_pct_medio,p4_ef_min_medio,p4_ef_pct_medio,p4_par_min_medio,p4_par_pct_medio,p5_ef_min_medio,p5_ef_pct_medio,p5_par_min_medio,p5_par_pct_medio,p6_ef_min_medio,p6_ef_pct_medio,p6_par_min_medio,p6_par_pct_medio,p7_ef_min_medio,p7_ef_pct_medio,p7_par_min_medio,p7_par_pct_medio,prep_ef_min_medio,prep_ef_pct_medio,prep_par_min_medio,prep_par_pct_medio,total_min_efec_medio,total_min_paradas_medio,prod_efectiva_min_ud_media,uph_efec_media
Objetivos Tiendas Liebre,1/7/2026,global,SECOS,Objetivo,"42217","140,77","1,157538","10,519385","22,572","0","0","1,035692","0,938723","4,071692","33,091385","40,300615",,,"0,029","0,26","0,5599","0","0","0,026","0,0232","0,102","0,8199","0,288166","210,836364","1,106769","0,0289","0,055846","0,0448","10,468615","0,2725","0,050058","0,0294","22,308","0,5844","0,262071","0,1267","0","0","0","0","0","0","0","0","1,012643","0,0263","0,027111","0,0197","0,925015","0,0239","0,013708","0,0065","2,396308","0,0639","1,675385","0,773","32,776615","0,8569","0,312129","0,1561","38,208923","2,091692","0,273443","222,536364"
Objetivos Tiendas Liebre,1/7/2026,global,REFRIGERADO,Objetivo,"18193","99,26","0,819009","6,143077","11,179385","0","0,000102","0,915978","2,091692","3,279692","17,322462","24,430154",,,"0,0338","0,2505","0,4597","0","0","0,0377","0,0853","0,1329","0,7103","0,24948","246,970455","0,785197","0,0338","0,033914","0,0365","6,102462","0,2619","0,037062","0,0356","11,037231","0,4773","0,142966","0,1196","0","0","0","0","0,000102","0","0","0","0,903895","0,0387","0,011982","0,0127","2,081538","0,0886","0,009138","0,0078","2,304923","0,0998","0,965935","0,7878","17,149846","0,7391","0,180028","0,1552","23,232","1,198154","0,237295","260,226515"
Objetivos Tiendas Liebre,1/7/2026,global,CONGELADO,Objetivo,"14728","42,56","0,895569","2,954769","6,549231","0","0","0,810582","1,898769","3,3","9,504","16,408615",,,"0,0553","0,1791","0,3981","0","0","0,0501","0,1172","0,2002","0,5772","0,39732","158,127273","0,858","0,0565","0,037468","0,0349","2,944615","0,1917","0,007006","0,0115","6,478154","0,4249","0,070772","0,0532","0","0","0","0","0","0","0","0","0,796671","0,0521","0,013809","0,0137","1,888615","0,1244","0,012895","0,0101","2,264308","0,1504","1,035692","0,8765","9,432923","0,6166","0,07788","0,0647","15,230769","1,177846","0,368382","170,368939"
Objetivos Tiendas Liebre,1/7/2026,global,FRESCOS,Objetivo,"17236","66,93","1,035692","0","0","16,266462","1,127077","0,990711","3,584308","3,523385","16,266462","26,532",,,"0,0391","0","0","0,6121","0,0414","0,0381","0,1357","0,1337","0,6121","0,405037","153,075","1,007566","0,0399","0,030462","0,0255","0","0","0","0","0","0","0","0","16,164923","0,643","0,108443","0,0813","1,116923","0,0435","0,006905","0,0061","0,969185","0,0396","0,021526","0,0196","3,564","0,1422","0,021729","0,0157","2,233846","0,0918","1,289538","0,8518","16,164923","0,643","0,108443","0,0813","25,049538","1,482462","0,38148","162,066667"
Objetivos Tiendas Liebre,1/7/2026,global,FYV,Objetivo,"13684","67,76","1,279385","0","0","8,986154","4,041231","1,188","2,904","2,822769","8,986154","21,221538",,,"0,0617","0","0","0,4212","0,1895","0,0577","0,1382","0,1317","0,4212","0,327766","194,87197","1,259077","0,0635","0,026908","0,0267","0","0","0","0","0","0","0","0","8,935385","0,442","0,057065","0,0533","3,990462","0,1981","0,048028","0,0492","1,167692","0,0601","0,015535","0,0155","2,893846","0,1447","0,010052","0,0082","1,797231","0,0916","1,025538","0,8469","8,935385","0,442","0,057065","0,0533","20,033538","1,177846","0,309083","206,17803"
Objetivos Tiendas Liebre,1/7/2026,global,HORNO,Objetivo,"8803","19,33","0,50688","1,177846","1,604308","0","0","0,833022","3,117231","0,52272","2,782154","7,767692",,,"0,0648","0,154","0,2058","0","0","0,1122","0,4064","0,0567","0,3599","0,441185","165,720455","0,485557","0,0644","0,021323","0,1025","1,177846","0,1575","0,000711","0,0049","1,584","0,2092","0,02244","0,0996","0","0","0","0","0","0","0","0","0,798803","0,1114","0,03432","0,1456","3,107077","0,4151","0,0132","0,0544","0,320963","0,0424","0,201757","0,5929","2,761846","0,3667","0,023151","0,1045","7,473231","0,293751","0,419455","170,10303"
Objetivos Tiendas Liebre,1/7/2026,global,PENDIENTES,Objetivo,"6020","7,08","0,621415","0,957","1,086462","0","0,006905","0,535209","1,776923","2,680615","2,040923","7,666154",,,"0,0948","0,117","0,1177","0","0,0011","0,0923","0,242","0,3351","0,2347","1,858154","71,490152","0,605474","0,1096","0,015942","0,0162","0,912222","0,1323","0,044778","0,0424","1,025538","0,1278","0,063969","0,0541","0","0","0","0","0,006905","0,0012","0","0","0,529929","0,113","0,00528","0,0065","1,766769","0,2803","0,011169","0,009","1,441846","0,2357","1,228615","0,8719","1,939385","0,2602","0,108646","0,0965","6,295385","1,370769","1,380923","87,720455"
