nivel,tienda,mes,area_batch,estado_veterana,n_dias,n_lotes,uds_total,uds_media_lote,p1_min_medio,p2_min_medio,p3_min_medio,p23_min_medio,p4_min_medio,p5_min_medio,p6_min_medio,p7_min_medio,prep_min_medio,total_min_util_medio,p1_ef_min_medio,p2_ef_min_medio,p3_ef_min_medio,p23_ef_min_medio,p4_ef_min_medio,p5_ef_min_medio,p6_ef_min_medio,p7_ef_min_medio,prep_ef_min_medio,total_min_efec_medio,p1_par_min_medio,p2_par_min_medio,p3_par_min_medio,p23_par_min_medio,p4_par_min_medio,p5_par_min_medio,p6_par_min_medio,p7_par_min_medio,prep_par_min_medio,total_min_paradas_medio,p1_pct_medio,p2_pct_medio,p3_pct_medio,p23_pct_medio,p4_pct_medio,p5_pct_medio,p6_pct_medio,p7_pct_medio,prep_pct_medio,p1_ef_pct_medio,p2_ef_pct_medio,p3_ef_pct_medio,p23_ef_pct_medio,p4_ef_pct_medio,p5_ef_pct_medio,p6_ef_pct_medio,p7_ef_pct_medio,prep_ef_pct_medio,p1_par_pct_medio,p2_par_pct_medio,p3_par_pct_medio,p23_par_pct_medio,p4_par_pct_medio,p5_par_pct_medio,p6_par_pct_medio,p7_par_pct_medio,prep_par_pct_medio,prod_total_min_ud_media,prod_efectiva_min_ud_media,uph_total_media,uph_efec_media,prod_real_oficial,prod_efec_oficial
tienda_mes,3968,1/6/2026,PENDIENTES,Veterana,23,72,257,"3,66","0,6948","0,5797","0,3639",0,"0,0382","0,6354","1,12","2,96","0,9436","6,4","0,6948","0,5797","0,3639",0,"0,0382","0,6354","1,12","1,58","0,9436","5,01",0,0,0,0,0,0,0,"1,39",0,"1,39","0,1172","0,0868","0,0474",0,"0,0089","0,1162","0,1624","0,4611","0,1342","0,1432","0,1081","0,0593",0,"0,0096","0,1516","0,1979","0,3302","0,1674",0,0,0,0,0,0,0,1,0,3,"2,38","33,86","43,5",,
tienda_mes,4065,1/6/2026,GLOBAL,Liebre,25,,69.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3031","0,2942"
tienda_mes,4065,1/6/2026,SECOS,Veterana,25,267,34.506,"128,76","1,32","10,74","21,21",0,0,"1,51","1,06","2,8","31,96","38,66","1,32","10,63","20,88",0,0,"1,37","1,03","2,42","31,51","37,66",0,"0,1146","0,335",0,0,"0,1377","0,0327","0,3772","0,4496","0,9972","0,0348","0,2753","0,5509",0,0,"0,0393","0,0274","0,0724","0,8261","0,0356","0,2796","0,5559",0,0,"0,0368","0,0273","0,0648","0,8355",0,"0,0841","0,3185",0,0,"0,108","0,0347","0,4548","0,4026","0,3018","0,2944","200,54","205,53",,
tienda_mes,4065,1/6/2026,REFRIGERADO,Veterana,25,132,13.818,"103,85","0,8923","7,57","9,88",0,0,"1,19","1,98","1,82","17,45","23,33","0,8923","7,52","9,83",0,0,"1,13","1,98","1,82","17,35","23,18",0,"0,0502","0,0516",0,0,"0,053",0,0,"0,1018","0,1548","0,0396","0,3239","0,4223",0,0,"0,0511","0,0846","0,0786","0,7462","0,0398","0,3238","0,4231",0,0,"0,0491","0,0851","0,079","0,7469",0,"0,3333","0,3333",0,0,"0,3333",0,0,"0,6667","0,2271","0,2257","267,39","269,03",,
tienda_mes,4065,1/6/2026,CONGELADO,Veterana,25,94,3.540,"37,56","1,3","3,19","5,69",0,0,"0,6266","2,11","2,39","8,88","15,31","1,3","3,19","5,69",0,0,"0,6266","2,11","2,24","8,88","15,16",0,0,0,0,0,0,0,"0,1553",0,"0,1553","0,0854","0,2066","0,3716",0,0,"0,041","0,1381","0,1574","0,5781","0,0864","0,2085","0,3749",0,0,"0,0414","0,1396","0,1492","0,5834",0,0,0,0,0,0,0,1,0,"0,42","0,4163","147,18","148,76",,
tienda_mes,4065,1/6/2026,FRESCOS,Veterana,25,128,8.110,"63,34","1,37",0,0,"16,78","0,8592","1,05","3,47","1,9","16,78","25,44","1,32",0,0,"16,69","0,8592",1,"3,47","1,77","16,69","25,11","0,0558",0,0,"0,0889",0,"0,0538",0,"0,1258","0,0889","0,3243","0,0542",0,0,"0,6583","0,0331","0,0423","0,137","0,0751","0,6583","0,0528",0,0,"0,6627","0,0335","0,0403","0,1389","0,0718","0,6627","0,1667",0,0,"0,3333",0,"0,1667",0,"0,3333","0,3333","0,4091","0,4045","148,62","150,64",,
tienda_mes,4065,1/6/2026,FYV,Veterana,25,100,7.709,"76,33","1,41",0,0,"10,49","3,7","0,9741","1,93","4,13","10,49","22,63","1,41",0,0,"10,49","3,62","0,9741","1,93","1,21","10,49","19,64",0,0,0,0,"0,0759",0,0,"2,91",0,"2,99","0,0626",0,0,"0,4632","0,1653","0,0455","0,0881","0,1753","0,4632","0,0721",0,0,"0,529","0,1858","0,0514","0,1007","0,061","0,529",0,0,0,0,"0,0134",0,0,"0,9866",0,"0,3026","0,2641","202,83","232,99",,
tienda_mes,4065,1/6/2026,HORNO,Veterana,25,58,1.346,"23,32","0,6377","1,1","1,77",0,0,"0,5411","1,68","0,1625","2,87","5,9","0,6377","1,1","1,77",0,0,"0,5411","1,68","0,1625","2,87","5,9",0,0,0,0,0,0,0,0,0,0,"0,1058","0,1829","0,3092",0,0,"0,0977","0,2821","0,0222","0,4922","0,1058","0,1829","0,3092",0,0,"0,0977","0,2821","0,0222","0,4922",,,,,,,,,,"0,2932","0,2932","244,4","244,4",,
tienda_mes,4065,1/6/2026,PENDIENTES,Veterana,21,25,172,"6,93","0,2851","0,4724","0,4762",0,0,"0,2705","0,6157","3,82","0,9486","5,94","0,2851","0,4724","0,4762",0,0,"0,2705","0,6157","2,39","0,9486","4,51",0,0,0,0,0,0,0,"1,42",0,"1,42","0,0602","0,0832","0,0825",0,0,"0,0536","0,1191","0,6014","0,1657","0,0768","0,1142","0,0938",0,0,"0,0641","0,133","0,518","0,2081",0,0,0,0,0,0,0,1,0,"2,58","1,58","68,17","85,4",,
tienda_mes,4140,1/6/2026,GLOBAL,Liebre,25,,128.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3051","0,2889"
tienda_mes,4140,1/6/2026,SECOS,Veterana,25,506,69.737,"137,08","1,08",11,"21,36",0,0,"1,21","1,1","3,95","32,35","39,69","1,05","10,85","21,2",0,0,"1,19","1,1","2,73","32,05","38,12","0,0212","0,1492","0,1608",0,0,"0,0123",0,"1,22","0,31","1,56","0,0271","0,2764","0,5381",0,0,"0,0303","0,0276","0,1004","0,8146","0,0277","0,2839","0,556",0,0,"0,0312","0,0288","0,0724","0,8399","0,0054","0,0774","0,0988",0,0,"0,0029",0,"0,8154","0,1762","0,2908","0,2794","207,81","216,39",,
tienda_mes,4140,1/6/2026,REFRIGERADO,Veterana,25,216,24.250,"112,12","0,8559","7,43","10,68",0,"0,0022","1,07","1,94","4,07","18,11","26,06","0,8559","7,41","10,59",0,"0,0022","1,07","1,94","3,19","17,99","25,06",0,"0,0285","0,091",0,0,0,0,"0,8798","0,1195","0,9993","0,0333","0,2842","0,4099",0,"0,0001","0,0412","0,0746","0,1567","0,6941","0,0348","0,2945","0,4227",0,"0,0001","0,0431","0,0779","0,1268","0,7173",0,"0,0197","0,048",0,0,0,0,"0,9323","0,0677","0,2347","0,2264","259,16","271,32",,
tienda_mes,4140,1/6/2026,CONGELADO,Veterana,25,163,7.204,"43,79","0,7961","2,98","6,52",0,0,"0,9091","1,51","2,97","9,5","15,7","0,7961","2,98","6,44",0,0,"0,9091","1,51","2,64","9,42","15,28",0,0,"0,0822",0,0,0,0,"0,3293","0,0822","0,4116","0,051","0,1886","0,4141",0,0,"0,0581","0,0972","0,1911","0,6027","0,0523","0,1934","0,4204",0,0,"0,0595","0,0997","0,1747","0,6138",0,0,"0,2222",0,0,0,0,"0,7778","0,2222","0,3702","0,3599","166,89","171,11",,
tienda_mes,4140,1/6/2026,FRESCOS,Veterana,25,208,13.114,"63,25","1,06",0,0,"16,56","0,899","0,848","2,58","4,4","16,56","26,35","0,9712",0,0,"16,53","0,899","0,8237","2,55","2,73","16,53","24,51","0,0847",0,0,"0,032",0,"0,0243","0,0268","1,67","0,032","1,84","0,0397",0,0,"0,6286","0,0338","0,032","0,0984","0,1674","0,6286","0,0396",0,0,"0,6735","0,0363","0,0334","0,1046","0,1126","0,6735","0,022",0,0,"0,0117",0,"0,0103","0,0098","0,9462","0,0117","0,4181","0,3894","144,62","155,12",,
tienda_mes,4140,1/6/2026,FYV,Veterana,25,161,12.018,"75,29","1,1",0,0,"11,72","5,33","1,16","1,92","5,63","11,72","26,87","1,1",0,0,"11,64","5,09","1,16","1,92","1,67","11,64","22,6",0,0,0,"0,0859","0,2328",0,0,"3,95","0,0859","4,27","0,0418",0,0,"0,4369","0,1983","0,0436","0,0718","0,2076","0,4369","0,0495",0,0,"0,5158","0,225","0,0513","0,0845","0,0738","0,5158",0,0,0,"0,0177","0,05",0,0,"0,9323","0,0177","0,3599","0,303","168,82","200,64",,
tienda_mes,4140,1/6/2026,HORNO,Veterana,25,89,1.966,22,"0,9003","1,51","1,79",0,0,"1,14","4,48","0,0542","3,3","9,88","0,838","1,51","1,79",0,0,"1,14","4,48","0,0542","3,3","9,82","0,0622",0,0,0,0,0,0,0,0,"0,0622","0,0879","0,1488","0,1782",0,0,"0,1194","0,461","0,0048","0,3269","0,0832","0,1494","0,1789",0,0,"0,1201","0,4635","0,0048","0,3283",1,0,0,0,0,0,0,0,0,"0,4764","0,4734","131,94","132,47",,
tienda_mes,4140,1/6/2026,PENDIENTES,Veterana,14,19,78,"3,82","0,6845","0,2023","0,2812",0,0,"0,7847","0,7977","4,63","0,4836","7,38","0,6845","0,2023","0,2812",0,0,"0,7847","0,7977","2,46","0,4836","5,21",0,0,0,0,0,0,0,"2,17",0,"2,17","0,1273","0,0295","0,0328",0,0,"0,1191","0,1172","0,574","0,0623","0,1747","0,0516","0,0349",0,0,"0,1443","0,1695","0,4249","0,0865",0,0,0,0,0,0,0,1,0,"3,17","1,85","34,23","49,72",,
tienda_mes,4184,1/6/2026,GLOBAL,Liebre,25,,54.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3138","0,3019"
tienda_mes,4184,1/6/2026,SECOS,Veterana,25,233,29.258,"123,9","0,7116","8,66","23,2",0,0,"0,7758","0,732","3,91","31,86","37,99","0,6408","8,64","23,2",0,0,"0,7486","0,7104","2,89","31,84","36,83","0,0708","0,0221",0,0,0,"0,0271","0,0216","1,02","0,0221","1,16","0,0188","0,2264","0,6119",0,0,"0,0204","0,0191","0,1035","0,8383","0,0174","0,2328","0,6314",0,0,"0,0203","0,0191","0,0789","0,8642","0,0691","0,0085",0,0,0,"0,0155","0,0083","0,8986","0,0085","0,3084","0,2989","195,6","201,73",,
tienda_mes,4184,1/6/2026,REFRIGERADO,Veterana,25,104,9.469,"91,39","0,5993","5,95","12,86",0,0,"0,7639","1,52","2,87","18,81","24,57","0,5993","5,95","12,86",0,0,"0,7639","1,52","2,58","18,81","24,28",0,0,0,0,0,0,0,"0,2824",0,"0,2824","0,0241","0,24","0,5281",0,0,"0,0311","0,0608","0,1159","0,7681","0,0245","0,2427","0,5339",0,0,"0,0314","0,0616","0,1059","0,7767",0,0,0,0,0,0,0,1,0,"0,2696","0,2666","224,35","226,92",,
