proceso,region,region_cod,zona_cod,zona,centro,centro_nombre,anio,mes,semana,dia,ancla,horario,horario_sin_asignar,real,real_real,ancla_real,horario_real,ancla_realreal,horario_realreal,tiene_realreal
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-24,18.5,25.0,0.0,16.5,18.12,2,8.5,0.38,6.88,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-25,18.5,23.5,0.0,18.5,19.1,0,5,-0.6,4.4,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-26,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-07-27,22.0,28.0,0.0,22.0,27.62,0,6,-5.62,0.38,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-07-28,22.0,25.0,0.0,21.0,23.67,1,4,-1.67,1.33,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-07-29,22.0,24.0,0.0,16.5,17.95,5.5,7.5,4.05,6.05,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-07-30,22.0,31.5,0.0,22.5,24.13,-0.5,9,-2.13,7.37,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-07-31,22.0,33.0,0.0,21.0,22.92,1,12,-0.92,10.08,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-08-01,22.0,26.0,0.0,26.0,26.07,-4,0,-4.07,-0.07,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-08-02,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-03,22.0,31.5,0.0,26.5,28.45,-4.5,5,-6.45,3.05,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-04,22.0,26.5,0.0,20.5,21.83,1.5,6,0.17,4.67,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-05,22.0,26.0,0.0,21.5,22.42,0.5,4.5,-0.42,3.58,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-06,22.0,20.5,0.0,21.5,23.72,0.5,-1,-1.72,-3.22,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-07,22.0,22.0,0.0,20.0,21.42,2,2,0.58,0.58,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-08,22.0,24.0,0.0,23.0,24.13,-1,1,-2.13,-0.13,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-09,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-06-29,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-06-30,12.0,12.0,0.0,9.5,5.1,2.5,2.5,6.9,6.9,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-07-01,12.0,12.5,0.0,9.5,9.29,2.5,3,2.71,3.21,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-07-02,12.0,15.0,0.0,8.0,13.8,4,7,-1.8,1.2,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-07-03,23.5,26.0,0.0,17.5,23.58,6,8.5,-0.08,2.42,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-07-04,23.5,25.0,0.0,16.5,22.6,7,8.5,0.9,2.4,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-07-05,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-06,23.5,25.0,0.0,15.5,24.54,8,9.5,-1.04,0.46,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-07,23.5,25.0,0.0,16.5,21.73,7,8.5,1.77,3.27,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-08,23.5,25.5,0.0,17.0,21.35,6.5,8.5,2.15,4.15,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-09,23.5,26.5,0.0,14.5,19.92,9,12,3.58,6.58,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-10,23.5,27.5,0.0,20.0,23.51,3.5,7.5,-0.01,3.99,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-11,23.5,24.0,0.0,16.5,20.91,7,7.5,2.59,3.09,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-12,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-13,18.0,19.5,0.0,14.0,19.76,4,5.5,-1.76,-0.26,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-14,18.0,19.0,0.0,15.0,19.37,3,4,-1.37,-0.37,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-15,18.0,26.0,0.0,12.5,15.87,5.5,13.5,2.13,10.13,1
